Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	¦Î=0.5	¦Î=1	¦Î=1.5	¦Î=2
373	0.010254	0.010245	0.010288	0.010352
374	0.010252	0.010243	0.010287	0.010352
375	0.010251	0.010242	0.010285	0.010351
376	0.010252	0.01024	0.010284	0.01035
377	0.010249	0.010239	0.010284	0.010349
378	0.010248	0.01024	0.010286	0.01035
379	0.010248	0.01024	0.010285	0.010349
380	0.010248	0.01024	0.010284	0.010349
381	0.010246	0.010241	0.010283	0.010348
382	0.010246	0.010241	0.010285	0.010347
383	0.010246	0.01024	0.010285	0.010347
384	0.010245	0.01024	0.010284	0.010347
385	0.010242	0.010242	0.010285	0.010345
386	0.010243	0.010243	0.010283	0.010344
387	0.010242	0.010242	0.010281	0.010343
388	0.010243	0.010243	0.01028	0.010343
389	0.010242	0.010243	0.01028	0.010342
390	0.010241	0.010243	0.01028	0.01034
391	0.010242	0.010243	0.01028	0.010339
392	0.010243	0.010243	0.010281	0.010339
393	0.010241	0.010242	0.010281	0.010338
394	0.01024	0.01024	0.01028	0.010338
395	0.010243	0.010239	0.010279	0.010336
396	0.010242	0.010239	0.01028	0.010335
397	0.010242	0.010238	0.010279	0.010335
398	0.010244	0.010238	0.01028	0.010336
399	0.010242	0.010236	0.010278	0.010336
400	0.010242	0.010236	0.01028	0.010335
401	0.010242	0.010237	0.010279	0.010334
402	0.010242	0.010237	0.010278	0.010334
403	0.010241	0.010236	0.010276	0.010332
404	0.010241	0.010236	0.010276	0.010333
405	0.01024	0.010236	0.010275	0.010332
406	0.010239	0.010237	0.010276	0.010334
407	0.010239	0.010235	0.010276	0.010334
408	0.01024	0.010233	0.010276	0.010336
409	0.010241	0.010231	0.010276	0.010337
410	0.01024	0.010231	0.010273	0.010336
411	0.01024	0.010231	0.010273	0.010335
412	0.010242	0.01023	0.010274	0.010334
413	0.010243	0.01023	0.010274	0.010333
414	0.010242	0.01023	0.010273	0.010335
415	0.010241	0.010229	0.010272	0.010335
416	0.01024	0.010229	0.010271	0.010334
417	0.010239	0.010229	0.010271	0.010333
418	0.010238	0.01023	0.010273	0.010334
419	0.010239	0.01023	0.010272	0.010333
420	0.010236	0.010228	0.01027	0.010333
421	0.010233	0.010228	0.010269	0.010335
422	0.010234	0.010227	0.010268	0.010334
423	0.010236	0.010228	0.010267	0.010333
424	0.010237	0.010226	0.010267	0.010332
425	0.010237	0.010227	0.010268	0.010329
426	0.010237	0.010225	0.010268	0.01033
427	0.010236	0.010224	0.010267	0.010331
428	0.010235	0.010224	0.010266	0.010331
429	0.010236	0.010224	0.010264	0.010329
430	0.010239	0.010226	0.010263	0.010328
431	0.010237	0.010225	0.010264	0.010328
432	0.010237	0.010225	0.010263	0.010328
433	0.010235	0.010225	0.010263	0.010328
434	0.010236	0.010226	0.010265	0.010327
435	0.010236	0.010227	0.010264	0.010326
436	0.010234	0.010226	0.010266	0.010327
437	0.010235	0.010228	0.010264	0.010327
438	0.010234	0.010227	0.010263	0.010326
439	0.010236	0.010225	0.010262	0.010326
440	0.010235	0.010224	0.010261	0.010326
441	0.010234	0.010225	0.010261	0.010328
442	0.010233	0.010222	0.010262	0.010328
443	0.010232	0.010222	0.010262	0.010327
444	0.010231	0.010222	0.010262	0.010325
445	0.01023	0.010221	0.010263	0.010324
446	0.010232	0.01022	0.010263	0.010324
447	0.01023	0.01022	0.010262	0.010324
448	0.01023	0.01022	0.010262	0.010323
449	0.010231	0.01022	0.010261	0.010322
450	0.01023	0.01022	0.010261	0.010321
451	0.010229	0.010219	0.010261	0.010321
452	0.01023	0.01022	0.01026	0.010321
453	0.010229	0.01022	0.010259	0.01032
454	0.010229	0.010221	0.010258	0.010321
455	0.010229	0.01022	0.010257	0.010319
456	0.010227	0.010221	0.010258	0.010319
457	0.010229	0.010222	0.010259	0.010318
458	0.01023	0.010221	0.010259	0.01032
459	0.010228	0.010221	0.010258	0.010319
460	0.010229	0.010219	0.010259	0.010319
461	0.010228	0.01022	0.010258	0.010318
462	0.010229	0.01022	0.010259	0.010315
463	0.010227	0.01022	0.010262	0.010316
464	0.010226	0.010221	0.010261	0.010314
465	0.010227	0.01022	0.01026	0.010316
466	0.010227	0.01022	0.010258	0.010314
467	0.010228	0.010219	0.010258	0.010314
468	0.010229	0.01022	0.010257	0.010315
469	0.010227	0.010221	0.01026	0.010315
470	0.010227	0.010222	0.01026	0.010315
471	0.010227	0.010221	0.010259	0.010316
472	0.010226	0.010222	0.010259	0.010315
473	0.010225	0.010221	0.010259	0.010316
474	0.010225	0.010222	0.010259	0.010315
475	0.010224	0.010222	0.010262	0.010314
476	0.010225	0.010224	0.010262	0.010313
477	0.010224	0.010227	0.010259	0.010314
478	0.010226	0.010225	0.010257	0.010312
479	0.010223	0.010225	0.010256	0.010313
480	0.010224	0.010223	0.010257	0.010312
481	0.010223	0.010223	0.010257	0.010312
482	0.010222	0.010223	0.010257	0.010311
483	0.010221	0.010223	0.010257	0.010311
484	0.010223	0.010223	0.010257	0.010311
485	0.010223	0.010222	0.010257	0.010312
486	0.010223	0.010223	0.010257	0.010311
487	0.010222	0.010225	0.010256	0.010311
488	0.010222	0.010226	0.010255	0.010311
489	0.01022	0.010226	0.010256	0.01031
490	0.01022	0.010225	0.010256	0.010311
491	0.01022	0.010225	0.010257	0.01031
492	0.010221	0.010223	0.010256	0.010311
493	0.010221	0.010224	0.010256	0.010312
494	0.010219	0.010223	0.010256	0.010312
495	0.010219	0.010223	0.010256	0.01031
496	0.010217	0.010222	0.010256	0.010309
497	0.010217	0.010222	0.010256	0.01031
498	0.010218	0.010221	0.010256	0.010309
499	0.010218	0.010221	0.010256	0.010309
500	0.010219	0.010221	0.010257	0.01031
501	0.010218	0.010221	0.010257	0.010311
502	0.010218	0.010221	0.010256	0.01031
503	0.01022	0.010219	0.010256	0.010308
504	0.010219	0.010219	0.010256	0.010308
505	0.01022	0.010218	0.010256	0.010309
506	0.01022	0.010217	0.010255	0.010309
507	0.010221	0.010219	0.010253	0.010308
508	0.010222	0.010219	0.010253	0.010308
509	0.010222	0.010218	0.010255	0.010307
510	0.010221	0.010218	0.010253	0.010305
511	0.010221	0.010218	0.010254	0.010306
512	0.010221	0.010217	0.010256	0.010305
513	0.01022	0.010215	0.010256	0.010305
514	0.010221	0.010215	0.010256	0.010304
515	0.010219	0.010216	0.010255	0.010304
516	0.010218	0.010217	0.010254	0.010304
517	0.010217	0.010216	0.010255	0.010304
518	0.010216	0.010213	0.010256	0.010305
519	0.010217	0.010212	0.010254	0.010304
520	0.010217	0.01021	0.010254	0.010305
521	0.010217	0.010212	0.010254	0.010303
522	0.010215	0.010213	0.010253	0.010302
523	0.010214	0.010215	0.010255	0.010302
524	0.010212	0.010214	0.010255	0.0103
525	0.010212	0.010215	0.010256	0.0103
526	0.010211	0.010216	0.010256	0.0103
527	0.010213	0.010217	0.010256	0.0103
528	0.010212	0.010216	0.010256	0.010301
529	0.010212	0.010213	0.010256	0.010301
530	0.010212	0.010214	0.010258	0.010301
531	0.010214	0.010213	0.010258	0.010303
532	0.010215	0.010213	0.010259	0.010302
533	0.010215	0.010214	0.010259	0.010301
534	0.010216	0.010214	0.010256	0.010302
535	0.010215	0.010214	0.010256	0.010301
536	0.010215	0.010213	0.010256	0.010301
537	0.010215	0.010215	0.010256	0.010302
538	0.010216	0.010215	0.010255	0.010304
539	0.010217	0.010216	0.010254	0.010302
540	0.010216	0.010216	0.010254	0.010303
541	0.010215	0.010215	0.010255	0.010302
542	0.010215	0.010212	0.010254	0.010302
543	0.010215	0.010211	0.010253	0.0103
544	0.010217	0.010209	0.010254	0.010299
545	0.010218	0.010208	0.010253	0.010299
546	0.010218	0.010209	0.010254	0.010298
